Course,Course_Long,College,Latest_Faculty,Average_Student_Count,Last_Offered,Community_Partners,Roles,Student_Hours
LDR 4940,LDR 4940 Service-Learning and Seminar,CPS,Barb Maclachlan ,20,Summer 2016,"Action Boston Community Development (ABCD), Edward M. Kennedy Academy For Health Careers, Fenway Community Development Corporation, Generation Citizen, Hostelling International-Boston, Little Brothers - Friends of the Elderly, Northeastern University Service-Learning Program, United South End Settlements, Wang YMCA of Chinatown","Activity Assistant, Activity Assistant (Early Childhood Ed.), Activity Assistant (MVP), Activity Assistant (Student Support), Food Pantry Volunteer, Marketing and Development Assistant, Program Assistant, Service-Learning Teaching Assistant, Tutor, Tutor (After School Program)",24
MATH 3000,MATH 3000 Co-op & Experiential Learning Reflection Seminar,COS,Rick Porter & Lisa Campagnoni,22,Spring 2015,"Generation Citizen, Little Brothers - Friends of the Elderly, New England Center for Arts & Technology, Northeastern University Service-Learning Program, Roxbury Multi-Service Center, Sneakers to Beakers Inc","Activity Assistant, Activity Assistant (Computer Lab), Consultant, Service-Learning Teaching Assistant, Special Event Coordinator",2
MEIE 4701,IE Industrial Engineering Capstone Design 1,COE,Susan Freeman,6,Fall 2012,null,null,null
MEIE 4702,IE Industrial Engineering Capstone Design 2,COE,Susan Freeman,5,Spring 2014,null,null,null
MKTG 2301,MKTG 2301 Marketing and Society,DMSB,Amir Grinstein,40,Spring 2017,null,null,null
MKTG 3301,MKTG 3301 Marketing Management,DMSB,Yakov Bart,4,Fall 2016,"Friends of the Children-Boston, Northeastern University Service-Learning Program","Marketing Consultant, Service-Learning Teaching Assistant",19
MKTG 3401,MKTG 3401 Marketing Research,DMSB,Daniele Mathras,38,Spring 2017,"Community Academy of Science & Health, Digital Grandparents, Literacy Volunteers of Massachusetts, Mayor's Office of Civic Engagement, Northeastern University Service-Learning Program, United South End Settlements","Marketing Consultant, Marketing Research, Research Consultant, Service-Learning Teaching Assistant",15
MKTG 4502,MKTG 4502 Marketing in the Service Sector,DMSB,Paul Fombelle,20,Fall 2016,"Action Boston Community Development (ABCD), Hernandez School, Northeastern University Service-Learning Program, Northeastern University Speech-Language & Hearing Center, Wediko Children's Services, Youth Enrichment Services","Marketing Consultant, Service-Learning Team Manager",16
MKTG 4506,MKTG 4506 Consumer Behavior,DMSB,Mary Steffel,40,Spring 2016,null,null,null
MKTG 4508,MKTG 4508 Digital Marketing,DMSB,Yakov Bart,16,Fall 2016,"Friends of the Children-Boston, Literacy Volunteers of Massachusetts, Northeastern University Service-Learning Program, Quest Adventures, Inc, United South End Settlements","Marketing Consultant, Service-Learning Teaching Assistant, Social Media Assistant",6
MKTG 6200,MKTG 6200 Creating & Sustaining Consumer Markets,DMSB,Jay Mulki,13,Fall 2016,"Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Northeastern University Service-Learning Program, YMCA International Learning Center",null,8
MKTG 6218,MKTG 6218 Marketing in the Service Sector,DMSB,Paul Fombelle,8,Fall 2016,"Madison Park Development Corp, Northeastern University Service-Learning Program, Northeastern University Speech-Language & Hearing Center, Youth Enrichment Services",null,12
PHIL 1150,PHIL 1150 Gender & Philosophy ,CSSH,Serena Parekh,5,Spring 2012,null,null,null
PHIL 1180,PHIL 1180 Environmental Ethics,CSSH,Ron Sandler,23,Fall 2009,null,null,null
PHTH 5120,"PHTH 5120  Race, Ethnicity, & Health in the US",Bouve,Hortensia Amaro,21,Spring 2012,null,null,null
PHTH 6200,PHTH 6200 Principles and History of Urban Health,Bouve,Shan Mohammed,29,Fall 2016,"Action Boston Community Development (ABCD), Mattapan Community Health Ctr, Mattapan Food & Fitness Coalition, Mattapan United",Service-Learning Teaching Assistant,0
PHTH 6228,PHTH 6228 Public Health Nutrition,Bouve,Carmen Sceppa,7,Spring 2012,Madison Park Development Corp,"Marketing Consultant, Service-Learning Team Manager",null
PJM 6910,PJM 6910 Project Management Capstone,CPS,Art LaMan,8,Spring 2015,"Northeastern University Service-Learning Program, Sneakers to Beakers Inc",Service-Learning Teaching Assistant,0
PPUA 5262,PPUA 5262 Big Data for Cities,CSSH,Dan O'Brien,22,Fall 2016,"Massachusetts Office of Information Technology, Metropolitan Area Planning Council, The Boston Indicators Project",null,7
PSYC 2306,"PSYC 2306 Food, Behavior & Eating Disorders",COS,Emily Kales,10,Fall 2010,null,null,null
PT 1000,PT 1000 College: An Introduction,Bouve,Sue Lowe,17,Fall 2009,null,null,null
PT 5135,PT 5135 Physical Therapy Professional Seminar 1,Bouve,PT Team,75,Fall 2010,null,null,null
PT 5161,PT 5161 Psychosocial Aspects of Healthcare Seminar,Bouve,Ann Golub-Victor,107,Spring 2017,"Fit Kids, Franciscan Hospital for Children, Greater Boston Chinese Golden Age Center: Hong Lok House, Greater Boston Chinese Golden Age Center: Quincy Towers, Healthy Kids, Healthy Futures, HEARTH at Elsie Frank House, HEARTH at Ruggles Assisted Living, Horizons for Homeless Children, Madison Park Village, Mason Place Housing Development, New England Disabled Sports, Northeastern University Service-Learning Program, Spaulding Rehabilitation Hospital, Symphony Plaza East, Symphony Plaza West, The Outreach Program for Soccer, Wang YMCA of Chinatown, William Carter School","Activity Assistant, Activity Assistant (Playspace Activity Leader), Activity Assistant (PT), Activity Assistant (Student Activity Leader), Fitness Mentor, Playspace Activity Leader, Service-Learning Teaching Assistant, Teacher (Aquatics)",9
PT 5227,PT 5227 Physical Therapy Project 1,Bouve,Lorna Hayward,8,Fall 2016,"Citizen Schools, Symphony Plaza East",null,0
PT 5229,PT 5229 Physical Therapy Project 2,Bouve,Ann Golub-Victor & Diane Fitzpatrick,6,Spring 2017,"Citizen Schools, CorporaciÃ‘n Para Sus Ni_os, Kenmore Abbey Apartments","Activity Assistant (PT), Consultant (PT), Teacher, Volunteer",0
PT Seminar,PT Professional Seminar,Bouve,"Lowe, Golub-Victor & Team",35,Fall 2009,null,null,null
SLPA 1200,SLPA 1200 Phonetics ,Bouve,Kevin Reilly,17,Spring 2014,"Northeastern University Service-Learning Program, Northeastern University Speech-Language & Hearing Center","Conversation Partner, Service-Learning Team Manager",8
SOCL 2320,SOCL 2320 Statistical Analysis in Sociology,CSSH,Vicki Schow,28,Fall 2009,null,null,null
SPNS 3101,SPNS 3101 Advanced Spanish 1,CSSH,Marcial Flores,14,Fall 2011,null,null,null
SPNS 3102,SPNS 3102 Advanced Spanish 2,CSSH,Maria Brucato,10,Spring 2014,"826 Boston, Catholic Charities, El Centro del Cardenal, Center for STEM Education, Edward M. Kennedy Academy For Health Careers, Ethos, Hurley K-8 School, Jumpstart at Northeastern, La Alianza Hispana, LIFT-Boston, Mujeres Unidas Avanzando, Northeastern University Service-Learning Program, NUTELLS (Northeastern Teaching English Language & Literacy), United South End Settlements, YMCA International Learning Center","Activity Assistant, Activity Assistant (Art Centre/Integrated Art Program), Activity Assistant (Literacy Center), Activity Assistant (Spanish, Art Center), Activity Assistant (Spanish), Case Manager, Conversation Partner, Corps Member, Service-Learning Teaching Assistant, Translation, Tutor, Tutor (Afterschool Program), Tutor (GED Program), Tutor (Spanish)",23
SPNS 3201,SPNS 3201 Advanced Spanish 1 - BSIB,CSSH,Carlos Cruz,12,Fall 2013,"Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Center for STEM Education, Ethos, Max Warburg Courage Curriculum, Mujeres Unidas Avanzando, Northeastern University Service-Learning Program","Activity Assistant, Activity Assistant (Art Centre/Integrated Art Program), Activity Assistant (Literacy Center), Activity Assistant (Spanish, Art Center), Activity Assistant (Spanish), Case Manager, Conversation Partner, Corps Member, Service-Learning Teaching Assistant, Translation, Tutor, Tutor (Afterschool Program), Tutor (GED Program), Tutor (Spanish)",18
SPNS 4201,SPNS 4201 Advanced Proficiency Spanish 1 - BSIB,CSSH,Carlos Cruz,12,Spring 2016,"Boston Housing Authority, Boston Public Schools, World Languages Program, Catholic Charities, El Centro del Cardenal, Hernandez School, La Alianza Hispana, Mujeres Unidas Avanzando, Northeastern University Service-Learning Program, United South End Settlements","Activity Assistant, Activity Assistant (Afterschool), Activity Assistant (Art Centre/Integrated Art Program), Classroom Assistant, Service-Learning Teaching Assistant, Tutor, Volunteer Interpreter",5
SPNS 4202,SPNS 4202 Advanced Proficiency Spanish 2 - BSIB,CSSH,Carlos Cruz,11,Spring 2014,"Boston Public Schools, World Languages Program, Catholic Charities, El Centro del Cardenal, Center for STEM Education, Ethos, Hernandez School, La Alianza Hispana, Mujeres Unidas Avanzando, Northeastern University Service-Learning Program, NUTELLS (Northeastern Teaching English Language & Literacy), YMCA International Learning Center","Activity Assistant, Activity Assistant (Afterschool), Activity Assistant (Spanish), Classroom Assistant, Conversation Partner, Service-Learning Teaching Assistant, Tutor, Tutor (GED Program)",12
SPNS 4800,SPNS 4800 Advanced Conversational Spanish & Service-Learning,CSSH,Maria Brucato,10,Spring 2017,"Boston Public Schools, World Languages Program, Hernandez School, Hurley K-8 School, La Alianza Hispana, Mujeres Unidas Avanzando, Northeastern University Service-Learning Program, NUTELLS (Northeastern Teaching English Language & Literacy)","Activity Assistant, Activity Assistant (Afterschool), Activity Assistant (Literacy Center), Classroom Assistant, Service-Learning Teaching Assistant, Tutor",24
Bouve,BouvÃ© College of Health Sciences,NEU,null,27,null,null,null,8
CAMD,"College of Arts, Media and Design",NEU,null,14,null,null,null,28
CCIS,College of Computer and Information Science,NEU,null,30,null,null,null,22
COE,College of Engineering,NEU,null,15,null,null,null,5
COS,College of Science,NEU,null,22,null,null,null,15
CPS,College of Professional Studies,NEU,null,15,null,null,null,19
CSSH,College of Social Sciences and Humanities,NEU,null,15,null,null,null,20
DMSB,D'Amore-McKim School of Business,NEU,null,23,null,null,null,12
Honors,Northeastern Honors Program,NEU,null,14,null,null,null,21
NU Explore,Northeastern Explore Program,NEU,null,15,null,null,null,20
NEU,Northeastern University,null,null,19,null,null,null,17
